id,hex
500406 ,  \xb6\xa2\x07\x00
500407 ,  \xb7\xa2\x07\x00
500408 ,  \xb8\xa2\x07\x00
500409 ,  \xb9\xa2\x07\x00
500410 ,  \xba\xa2\x07\x00
500411 ,  \xbb\xa2\x07\x00
500412 ,  \xbc\xa2\x07\x00
500413 ,  \xbd\xa2\x07\x00
500414 ,  \xbe\xa2\x07\x00
500415 ,  \xbf\xa2\x07\x00
500416 ,  \xc0\xa2\x07\x00
500417 ,  \xc1\xa2\x07\x00
500418 ,  \xc2\xa2\x07\x00
500419 ,  \xc3\xa2\x07\x00
500420 ,  \xc4\xa2\x07\x00
500422 ,  \xc6\xa2\x07\x00
500423 ,  \xc7\xa2\x07\x00
500424 ,  \xc8\xa2\x07\x00
500425 ,  \xc9\xa2\x07\x00
500426 ,  \xca\xa2\x07\x00
500427 ,  \xcb\xa2\x07\x00
500429 ,  \xcd\xa2\x07\x00
500430 ,  \xce\xa2\x07\x00
500431 ,  \xcf\xa2\x07\x00
500432 ,  \xd0\xa2\x07\x00
500433 ,  \xd1\xa2\x07\x00
500434 ,  \xd2\xa2\x07\x00
500435 ,  \xd3\xa2\x07\x00
500436 ,  \xd4\xa2\x07\x00
500437 ,  \xd5\xa2\x07\x00
500438 ,  \xd6\xa2\x07\x00
500439 ,  \xd7\xa2\x07\x00
500440 ,  \xd8\xa2\x07\x00
500441 ,  \xd9\xa2\x07\x00
500443 ,  \xdb\xa2\x07\x00
500446 ,  \xde\xa2\x07\x00
500447 ,  \xdf\xa2\x07\x00
500449 ,  \xe1\xa2\x07\x00
500450 ,  \xe2\xa2\x07\x00
500451 ,  \xe3\xa2\x07\x00
500452 ,  \xe4\xa2\x07\x00
500453 ,  \xe5\xa2\x07\x00
500454 ,  \xe6\xa2\x07\x00
500455 ,  \xe7\xa2\x07\x00
500456 ,  \xe8\xa2\x07\x00
500457 ,  \xe9\xa2\x07\x00
500458 ,  \xea\xa2\x07\x00
500459 ,  \xeb\xa2\x07\x00
500460 ,  \xec\xa2\x07\x00
500461 ,  \xed\xa2\x07\x00
500462 ,  \xee\xa2\x07\x00
